loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
548,3,Not Graduate,No,9962929,12578958,12,846,21795114,316086,32610834,11614057,Approved
549,3,Graduate,No,8938678,20778359,5,595,21682906,398774,26675333,12937824,Approved
550,4,Not Graduate,Yes,6557960,34146604,11,508,27744034,17955000,8727010,7253714,Rejected
551,4,Not Graduate,Yes,553414,21816641,8,757,3833382,11689408,23687071,14442089,Approved
552,2,Not Graduate,Yes,1186757,31364929,20,615,10571746,13607148,35361881,2518766,Rejected
553,4,Not Graduate,No,4681916,8706309,8,534,22450746,5346178,7967531,12807622,Rejected
554,1,Not Graduate,Yes,5953082,30711312,6,576,12489102,6059344,36748888,12473335,Rejected
555,5,Not Graduate,No,6673213,29012465,19,621,19060883,9128932,25597504,1465867,Rejected
556,3,Graduate,No,1590979,35434207,5,384,21396575,4152358,3399740,2251078,Rejected
557,4,Graduate,Yes,8899569,2559379,19,334,25738213,8572586,13059134,543135,Rejected
558,5,Graduate,Yes,5033600,15360248,20,699,6580001,18507233,33794173,4069264,Rejected
559,4,Not Graduate,Yes,6019105,3777073,7,405,7570210,14528529,13248499,14574833,Rejected
560,5,Not Graduate,No,585236,15982155,15,619,13702781,16860077,37111636,1826845,Approved
561,3,Graduate,Yes,8279946,30048820,17,769,14729810,9634856,16463535,6747433,Approved
562,0,Graduate,Yes,5521904,25390051,12,429,26337423,15277652,13434283,5196435,Rejected
563,2,Graduate,Yes,2382372,29817388,15,529,1134594,8171684,33405333,9249209,Rejected
564,1,Graduate,Yes,3324775,29221938,4,887,7137424,11978319,30791895,8915816,Approved
565,5,Graduate,Yes,3657532,39196163,11,321,26553941,14167375,9343156,12158639,Rejected
566,1,Not Graduate,No,465159,34785695,11,754,17886472,16002397,30613935,6099448,Approved
567,1,Not Graduate,Yes,9432897,23280958,12,400,19653891,17960654,9831033,6781662,Rejected
568,1,Graduate,Yes,8069295,34633137,19,844,7266172,2046693,35107796,332631,Approved
569,3,Graduate,Yes,8882556,2178081,17,547,18125669,15402094,287724,14269587,Rejected
570,3,Not Graduate,No,3665674,28576513,13,304,10762103,13767623,25957852,3134702,Rejected
571,5,Not Graduate,Yes,5667939,20763750,9,731,21321255,14292310,6076269,8759097,Approved
572,2,Not Graduate,Yes,4690958,37810197,9,388,2634685,284828,26530048,12945658,Rejected
573,1,Graduate,Yes,4859786,20047267,2,518,8273969,9461808,38364228,8884827,Rejected
574,0,Graduate,No,5971509,7302242,12,601,18758363,18640507,26170558,9193235,Approved
575,0,Graduate,No,4620460,28685048,6,747,17572333,17464186,17007701,2576734,Approved
576,2,Not Graduate,No,7777772,37553322,18,551,24454773,4478298,32273321,10422610,Rejected
577,5,Not Graduate,No,776138,934121,16,815,23306827,9434481,7650455,2794705,Approved
578,3,Not Graduate,No,2087943,2816306,19,589,420108,16759794,21290688,10169355,Rejected
579,5,Graduate,Yes,8945296,26222441,20,505,2627568,18047544,37854726,8476404,Rejected
580,0,Graduate,Yes,8846964,22080378,9,502,10309779,6424211,13951745,7196565,Rejected
581,0,Not Graduate,Yes,8217865,21805257,10,781,27901571,15576691,1063020,10596927,Approved
582,5,Not Graduate,No,3813773,3835720,13,699,13885693,16194372,17309270,10580707,Approved
583,0,Not Graduate,No,4671261,22726443,10,376,25953905,2915048,18979322,3009188,Rejected
584,0,Graduate,No,447652,22565638,7,750,1724048,620035,31827997,5520707,Approved
585,2,Graduate,No,2938512,33591752,15,549,28023848,911648,31540403,7115059,Approved
586,5,Graduate,Yes,7319077,15592301,10,509,1778064,2820154,13331332,2230853,Rejected
587,4,Not Graduate,Yes,3560622,13937842,19,358,23522941,14372600,30294748,5236140,Rejected
588,0,Not Graduate,Yes,4906552,3499089,6,899,25518186,7556543,5609285,608762,Approved
589,5,Not Graduate,No,1406973,22522392,10,331,8564452,13305279,7417316,6449827,Rejected
590,5,Graduate,No,5064514,25706179,12,898,8754070,1743440,23677649,3024479,Approved
591,4,Not Graduate,Yes,7273540,11304459,19,338,16923264,11680524,27745355,3265324,Rejected
592,5,Graduate,Yes,5806829,28962962,12,603,21012110,14454716,31644943,12030301,Approved
593,1,Not Graduate,No,5655365,37071678,3,362,3496726,18939042,24393713,2068626,Rejected
594,5,Not Graduate,No,9162923,7128068,8,596,6894336,6194391,5006930,1774598,Approved
595,1,Not Graduate,No,2494213,22749632,18,802,21946251,10580819,26470827,4711365,Approved
596,4,Not Graduate,No,3134594,27521920,7,654,23498207,6749257,16826168,345367,Approved
597,3,Not Graduate,Yes,6305455,1023851,8,626,4470914,12411976,10431308,12773075,Rejected
598,4,Graduate,Yes,4905856,7318664,4,371,25887628,10960337,13292476,14507605,Rejected
599,3,Graduate,No,9796457,15808876,15,869,25224576,16159832,31780788,11836818,Approved
600,3,Not Graduate,No,784855,5685940,4,525,25257338,551187,6958443,11749876,Rejected
601,3,Not Graduate,No,1399472,14236184,8,623,7000207,4305071,21922110,1494315,Rejected
602,4,Graduate,No,3551558,6076640,15,839,19472498,11237726,3251543,8152096,Approved
603,4,Not Graduate,No,4693153,35447506,19,677,4667986,11131111,28423059,1290785,Approved
604,0,Graduate,Yes,8926459,23783876,6,741,5715741,17507145,5874827,4421875,Approved
605,4,Not Graduate,Yes,5042756,13203534,8,410,2063316,13092128,36831281,7246383,Rejected
606,3,Graduate,No,4484075,30828600,4,576,14348860,84003,34574696,10018317,Approved
607,1,Not Graduate,No,1834612,1021930,10,624,20700725,9489268,33535493,4077518,Approved
608,3,Graduate,Yes,4455620,23698233,20,405,5783783,16398893,13664031,3765589,Rejected
609,5,Graduate,No,5409486,27090975,7,531,5418529,16938892,30667628,12104359,Rejected
610,5,Not Graduate,Yes,5921078,32026577,6,799,8059583,15557420,5275224,3296193,Approved
611,5,Not Graduate,Yes,6138577,9013126,9,859,5752133,9262131,11354230,7146863,Approved
612,2,Graduate,No,4410473,23485912,19,794,24237398,2058400,5193944,4216205,Approved
613,4,Not Graduate,No,1741976,30392968,12,861,4938171,4138593,2120058,12534803,Approved
614,2,Graduate,Yes,1696767,31554993,13,900,8104296,16428511,14387426,7862220,Approved
615,4,Graduate,Yes,1716294,7185456,16,419,8898638,6608097,22526062,1590522,Rejected
616,3,Graduate,No,6262147,38579683,15,814,5898841,14812778,33805818,2174965,Approved
617,1,Graduate,No,8592218,11039428,13,672,27389252,702057,1352911,14260133,Approved
618,1,Not Graduate,Yes,8854518,15625624,12,816,6099621,9526301,15954137,13822996,Approved
619,0,Not Graduate,No,3251597,7828704,12,683,14160690,18437455,27996239,11276389,Approved
620,0,Graduate,Yes,980365,6177733,5,375,16474707,4757150,7900560,1139332,Rejected
621,2,Graduate,No,6377267,10314172,9,638,7591548,592196,28883409,10758585,Approved
622,2,Not Graduate,Yes,576105,5607555,18,756,13713247,5589148,22350253,9713686,Approved
623,0,Not Graduate,No,6342376,29024499,2,374,4958371,1222894,22066121,13821177,Rejected
624,2,Graduate,No,3954404,23721122,17,603,14050256,11878133,4896865,7148673,Rejected
625,3,Graduate,No,8423875,15589110,12,693,550031,3720194,6591554,6913450,Approved
626,1,Graduate,No,6328663,21746440,8,579,12775562,4778297,34393332,9299310,Approved
627,2,Graduate,No,7450968,23984746,4,780,10621286,11400931,34328280,2188667,Approved
628,2,Not Graduate,No,4176098,7522027,16,376,10201590,6311900,17738955,10957827,Rejected
629,3,Not Graduate,No,8437649,11940775,2,507,3202788,12620041,23360112,7304440,Rejected
630,2,Not Graduate,No,5346260,34878515,12,871,29063534,18058265,21245093,2762227,Approved
631,4,Not Graduate,No,6327105,774218,5,609,786049,18066868,20183764,11983790,Rejected
632,1,Graduate,No,3734144,38100128,19,408,4251506,14148975,27919063,3887698,Rejected
633,2,Not Graduate,No,4604680,10226053,5,369,2996709,18793001,22249596,12635281,Rejected
634,2,Not Graduate,No,8433404,12871876,17,656,28451454,14279836,4910104,4009949,Rejected
635,1,Not Graduate,Yes,4056952,8409811,12,859,9268976,1316558,3249173,7181621,Approved
636,4,Graduate,No,409508,22277787,2,329,12540862,18545166,33329834,6420708,Rejected
637,1,Not Graduate,Yes,3914492,8685736,15,365,21850133,10996008,29025132,10764842,Rejected
638,1,Graduate,No,4041197,31294739,18,525,1468452,112403,7790956,2737187,Rejected
639,4,Not Graduate,Yes,4300252,15486924,6,425,1949299,12037988,2382402,3630204,Rejected
640,5,Not Graduate,No,892482,38223404,20,372,5311287,4743025,8604012,2829206,Rejected
641,4,Not Graduate,Yes,1467230,33746506,17,479,19749411,10367610,22672815,3389041,Rejected
642,5,Not Graduate,No,3375565,16031518,16,686,28474104,12764694,22885993,6657288,Approved
643,5,Not Graduate,No,4354792,23661656,8,796,18057787,538861,6634877,8618015,Approved
644,2,Graduate,Yes,484327,1255929,4,484,25380277,8502467,6906743,12695914,Rejected
645,4,Not Graduate,No,4016560,2948094,10,721,25665914,1076872,8141916,6199742,Approved
646,1,Not Graduate,Yes,3337245,20136277,17,794,8042333,2188415,17371671,6025678,Approved
647,2,Graduate,No,538802,18840780,13,304,5354021,4099540,9143566,2367470,Rejected
648,3,Graduate,No,2654000,15913215,14,812,4660285,15155933,17888094,1454177,Approved
649,5,Graduate,Yes,2896281,3841002,16,410,23113190,8014743,560781,11192028,Rejected
650,5,Not Graduate,Yes,1606592,33222750,8,711,19480279,913207,36695561,9303285,Approved
651,2,Not Graduate,Yes,7568689,16223593,2,750,25167577,14493328,34960082,7822567,Approved
652,3,Not Graduate,Yes,909262,18724497,18,808,14758600,10550711,13273840,6528187,Approved
653,1,Not Graduate,Yes,5863867,16117989,13,542,28415688,2747278,31526022,7649766,Rejected
654,4,Not Graduate,No,6720292,19796079,12,696,26017731,10911808,20985411,12431694,Approved
655,3,Not Graduate,No,8100442,25715425,12,315,23528786,4825976,1226428,2782849,Rejected
656,3,Graduate,Yes,5546704,30248145,18,568,23371784,12337649,11159786,7332198,Rejected
657,4,Graduate,Yes,5518343,21838596,16,879,3601654,18383107,2233854,3544767,Approved
658,3,Graduate,Yes,7655914,6806134,14,395,21673294,6123150,27752938,1542082,Rejected
659,0,Not Graduate,No,8570021,34590388,16,390,27561454,14461764,30688772,10182805,Rejected
660,1,Graduate,Yes,8001458,11457505,7,720,8501762,457858,24192258,10361761,Approved
661,1,Graduate,Yes,4731221,937987,15,606,23716268,7898567,266688,12522975,Approved
662,4,Graduate,Yes,1163188,1830374,20,573,10185160,17246275,9252094,314994,Rejected
663,0,Not Graduate,Yes,6201792,30640754,6,449,6178662,1447397,18384757,2605018,Rejected
664,1,Not Graduate,No,9774663,15468751,12,402,21259015,18026573,5670227,8445812,Rejected
665,3,Not Graduate,Yes,1578897,1188206,14,743,4807244,1816573,4206052,11941482,Approved
666,4,Graduate,No,344524,32108516,11,515,14004768,9350581,11930736,13818322,Rejected
667,3,Not Graduate,No,9181889,12228161,20,766,27249651,3512252,23191983,11584998,Approved
668,5,Not Graduate,No,6049013,38635808,9,566,4565211,400422,3469329,13302300,Rejected
669,5,Not Graduate,Yes,2347119,34782795,6,538,4530830,6776220,39134944,11979203,Rejected
670,0,Graduate,No,7966613,2188156,4,438,27438717,11268900,17993561,4641157,Rejected
671,5,Graduate,Yes,4058071,27364236,18,695,22613708,14014128,6743243,8551634,Approved
672,3,Not Graduate,No,3452562,23946083,15,471,13432943,6129039,786329,9340345,Rejected
673,3,Graduate,No,3040100,7042269,12,846,11793044,9553008,37502006,5172077,Approved
674,0,Not Graduate,Yes,6065984,13748133,10,545,28052284,3540220,23307670,13017882,Rejected
675,3,Not Graduate,No,1518508,19538754,9,789,21062733,14154295,33926758,11334007,Approved
676,4,Graduate,No,3748801,6027698,19,582,26429187,3277681,30445147,7597405,Approved
677,3,Not Graduate,No,3189765,28598644,14,549,2672875,16704065,38645514,7055197,Rejected
678,0,Graduate,Yes,794026,11170068,20,572,15437063,3477555,34877964,11651832,Approved
679,3,Not Graduate,No,7678929,37043859,17,565,21099196,12882785,30034594,3261401,Rejected
680,5,Graduate,Yes,282922,31726097,16,587,1040811,6418315,33365971,3213069,Rejected
681,4,Graduate,Yes,9605270,25165391,12,833,14896621,19332119,33594174,5915085,Approved
682,0,Graduate,No,1129647,4994886,6,722,1619041,5444032,9988939,1874573,Approved
683,5,Graduate,Yes,3710705,1267276,14,320,26201011,18405336,23308227,6728437,Rejected
684,5,Not Graduate,No,1164414,6020004,15,334,19815810,16226641,38648859,6357338,Rejected
685,1,Graduate,Yes,3795387,19888313,11,313,5482393,9078502,33997535,7428573,Rejected
686,4,Graduate,Yes,6186720,30925311,2,715,15174416,9609105,4126243,6784944,Approved
687,2,Graduate,Yes,1057314,6296096,20,423,3182261,6863500,4371280,13194184,Rejected
688,3,Graduate,No,5353479,28028843,17,531,23392246,8296361,7840693,4035171,Rejected
689,2,Graduate,No,7764391,2172958,8,797,5710010,9040201,29072848,6044125,Approved
690,4,Not Graduate,Yes,4663540,10711840,11,379,17671751,2829171,15436260,10851816,Rejected
691,5,Not Graduate,No,1301967,23761617,4,392,2286543,6264284,24645964,4186719,Rejected
692,4,Graduate,Yes,6980831,32772249,19,347,4594929,16992281,5478513,9650998,Rejected
693,5,Not Graduate,No,2027516,30755339,6,471,28522380,18990777,2345982,14146514,Rejected
694,5,Not Graduate,Yes,364896,21179871,9,353,11228244,1063550,30221339,5518361,Rejected
695,0,Graduate,No,4480524,1713573,10,678,3575127,14207250,11430342,3556638,Approved
696,1,Not Graduate,Yes,2855638,11800840,7,742,20366675,4646908,1692411,2794665,Approved
697,4,Graduate,Yes,479085,31016700,14,410,5844762,12685339,8471386,163409,Rejected
698,3,Graduate,No,7818449,3483383,20,615,17151914,12056562,12666298,4176068,Approved
699,0,Graduate,No,6077380,27990405,18,482,23561855,17050421,15882877,12492368,Rejected
700,0,Graduate,Yes,9117776,27893724,12,348,19887417,13624861,35152426,3744814,Rejected
701,3,Not Graduate,No,4907622,29777886,4,580,7180552,15978106,7775450,14030352,Rejected
702,3,Not Graduate,No,4495699,8815519,18,719,6895608,15542437,23680475,14008747,Approved
703,1,Graduate,Yes,8457742,9893352,6,437,6468736,12559326,10773322,10027339,Rejected
704,1,Not Graduate,Yes,998543,8081277,19,773,18389627,7959651,19540450,14418769,Approved
705,0,Not Graduate,No,3744351,15728942,9,896,19564214,6539666,11604381,5992449,Approved
706,3,Not Graduate,No,8027542,20838941,11,333,15160200,6726757,13498308,14057746,Rejected
707,0,Not Graduate,No,3066905,4994232,10,398,11604068,6957995,23512587,7993193,Rejected
708,3,Not Graduate,No,8874671,22541984,10,473,1806985,5597901,23119684,1187137,Rejected
709,2,Graduate,No,2983519,9664525,5,810,24312443,6027810,5287051,12230423,Approved
710,2,Not Graduate,No,4253871,22336138,12,385,19210952,11021036,6141610,13972002,Rejected
711,4,Not Graduate,No,8994187,12169355,9,582,18573637,5241360,9451168,13014502,Rejected
712,3,Not Graduate,Yes,2584881,37721773,18,622,3018273,6763530,35254060,6126987,Rejected
713,4,Not Graduate,No,9687505,12821916,11,377,8387048,13756265,12432203,1507130,Rejected
714,4,Graduate,No,630922,34455216,20,325,8840302,6365028,22652867,8606431,Rejected
715,5,Graduate,Yes,2804832,7161563,7,371,17399567,2067221,17603463,12759551,Rejected
716,4,Graduate,No,5992612,3628746,8,333,22911233,327682,13881871,12358143,Rejected
717,3,Graduate,No,6022326,7697502,2,600,25214033,14843889,1493074,9075042,Approved
718,2,Not Graduate,Yes,9116721,16739425,16,862,15192588,18397330,17294285,11559156,Approved
719,1,Not Graduate,Yes,9606164,35637640,3,512,10606454,13241535,39169088,474494,Rejected
720,3,Not Graduate,Yes,6843303,7208928,7,454,11875883,1175528,36883201,9164541,Rejected
721,0,Not Graduate,Yes,6665438,31028630,19,440,21431297,10929002,11775366,1594739,Rejected
722,5,Not Graduate,Yes,3309036,27618818,13,889,9256289,5254907,20898734,11015679,Approved
723,5,Not Graduate,Yes,8095373,13803526,12,876,12100739,6223479,11263918,669352,Approved
724,0,Not Graduate,Yes,6500306,13487316,17,689,22880044,17875540,36122285,8745257,Approved
725,4,Not Graduate,Yes,435908,37447627,16,578,15803435,15993276,21750926,13943811,Rejected
726,0,Not Graduate,Yes,8354271,28313577,18,396,13610597,14265754,36067792,1645246,Rejected
727,4,Graduate,No,3724674,9665770,14,858,21350670,9717444,33478061,6269813,Approved
728,0,Not Graduate,Yes,4863135,36044840,10,300,8399088,11215912,12840024,600906,Rejected
729,2,Not Graduate,No,4963780,16247362,4,398,1761346,17768646,17906927,10519549,Rejected
730,3,Not Graduate,Yes,8233536,3424078,9,707,22942003,12819789,22323796,13602599,Approved
731,4,Graduate,No,2825668,32190193,15,410,13239031,11232405,9754496,25244,Rejected
732,2,Graduate,No,4040715,34354051,6,365,9471300,1882965,32598349,8025490,Rejected
733,5,Graduate,No,583397,17661146,14,658,2770713,19331175,22182319,11659627,Approved
734,4,Not Graduate,Yes,3615355,27893934,4,315,26955739,15687758,8128253,373197,Rejected
735,1,Not Graduate,No,1066018,9497312,3,462,21097661,7076018,18931347,7085920,Rejected
736,4,Not Graduate,Yes,5913289,33634098,8,686,7975606,4852071,32207421,1896193,Approved
737,4,Not Graduate,Yes,8953290,14746590,6,411,17687162,18775638,16584533,13576959,Rejected
738,2,Graduate,No,4753927,10778409,18,756,13512225,18550551,27840500,7489484,Approved
739,4,Not Graduate,Yes,9138636,19928266,9,356,9513653,8153206,38568211,7657193,Rejected
740,5,Not Graduate,Yes,9775697,10775264,9,668,9067987,4488667,13133464,14659033,Approved
741,4,Graduate,No,727274,24629260,9,345,2219792,15477749,39041250,11595362,Rejected
742,4,Not Graduate,Yes,5260616,29609073,8,739,28366059,12132069,16244467,4614115,Approved
743,3,Graduate,No,5377134,16199775,19,752,26940851,17461583,22028198,9253160,Approved
744,1,Not Graduate,Yes,3974686,31011033,16,777,25332481,10579295,30301478,4365161,Approved
745,4,Not Graduate,Yes,8338595,17207130,5,469,9166608,10705835,2665753,7651915,Rejected
746,2,Not Graduate,Yes,4070349,38332165,6,442,29008973,2776200,27497787,11940250,Rejected
747,3,Not Graduate,Yes,740875,10646589,3,888,8013464,11700375,22223169,13939189,Approved
748,1,Graduate,Yes,5569812,27925648,6,738,23991580,7040787,25689786,13987405,Approved
749,1,Not Graduate,Yes,2178703,21285614,14,410,2939244,3986020,37336908,7285308,Rejected
750,0,Not Graduate,Yes,3678138,37286480,19,317,9034465,15157079,19017886,13156521,Rejected
751,5,Not Graduate,Yes,5118516,8902684,11,513,16800978,6708470,36287147,13118108,Rejected
752,0,Not Graduate,Yes,7284485,8012562,3,699,28162552,4124208,22255847,8032761,Approved
753,0,Graduate,No,2925972,34307028,2,525,7730515,18634943,8447633,530341,Rejected
754,5,Not Graduate,No,3930497,35623074,9,785,12582427,18679431,25579235,1750000,Approved
755,3,Graduate,No,865442,29596789,7,600,24527024,9594338,7452683,9664057,Rejected
756,2,Not Graduate,No,3964615,18915449,12,895,13743376,5732382,35249061,12206397,Approved
757,4,Graduate,Yes,5886242,16382936,4,823,19868513,3139250,5968429,13401425,Approved
758,2,Graduate,Yes,6246338,26429618,6,583,12173178,12158400,19547833,3574616,Rejected
759,0,Graduate,No,3073735,29591332,12,801,113923,11849671,32135546,13219347,Approved
760,4,Not Graduate,Yes,796299,11118267,7,569,8238000,12006020,360836,12150259,Rejected
761,1,Graduate,No,5857646,574240,8,305,16461131,14894416,19210158,7130288,Rejected
762,3,Graduate,Yes,6622478,3183400,6,485,566471,9133097,19851407,5498705,Rejected
763,5,Not Graduate,Yes,1034679,13803977,2,545,6746389,13256328,13251425,6939828,Rejected
764,5,Graduate,No,5148728,27022955,8,886,27735425,15434887,26376250,9929087,Approved
765,2,Graduate,No,1131825,17559805,8,797,447183,14425392,12732441,11914547,Approved
766,4,Graduate,No,4639656,24540473,19,388,7198808,697260,14676411,2523095,Rejected
767,3,Graduate,Yes,6480265,18716101,18,300,18023584,12008657,10796199,4924733,Rejected
768,2,Not Graduate,Yes,7248680,10165012,10,617,16385400,18922950,24472198,1765620,Rejected
769,0,Not Graduate,No,7195080,29650274,7,620,5963007,10863895,34598695,13776272,Approved
770,2,Not Graduate,Yes,7630907,28659230,9,741,1734101,10277467,6962091,5983861,Approved
771,3,Graduate,No,2564113,38042052,13,455,26179402,11768571,16059451,3685056,Rejected
772,5,Graduate,Yes,8493357,32666864,9,788,16029135,10863944,8853409,2988583,Approved
773,0,Graduate,No,3626795,15195887,16,548,16685379,7797944,9565495,1093648,Rejected
774,4,Graduate,No,3873070,27925935,20,501,1679872,19282633,38086475,6927697,Rejected
775,5,Not Graduate,Yes,7918330,14043514,9,552,6087286,1374939,27847868,11347282,Rejected
776,5,Not Graduate,No,3404969,34515005,4,867,2121816,15796567,37022255,4748976,Approved
777,2,Graduate,Yes,933766,24232197,4,535,28492608,3098148,24909818,5949446,Rejected
778,0,Not Graduate,Yes,7200553,33017620,18,636,22399640,4005423,26128448,9356317,Rejected
779,1,Not Graduate,No,6688599,11325141,9,836,15901449,11770058,28042329,5229927,Approved
780,5,Graduate,No,5901688,884896,8,310,19813164,12375976,25597624,10865662,Rejected
781,5,Not Graduate,Yes,1604151,5840933,13,622,4815240,17987173,32220679,4717376,Rejected
782,3,Graduate,Yes,6391655,21129515,20,725,28757786,5709949,12783422,6559295,Approved
783,0,Graduate,Yes,2144407,37992403,10,843,15051747,499366,3968361,14412500,Approved
784,0,Not Graduate,No,5644125,24880059,7,336,15033389,4947894,19152000,12292137,Rejected
785,2,Not Graduate,No,5177657,32033575,18,736,27917057,10554282,77958,8403646,Approved
786,3,Graduate,No,7772392,18694488,3,782,2791870,6932882,1855404,5760583,Approved
787,0,Not Graduate,Yes,9770494,37873183,18,511,12344517,4889991,1982196,14581142,Rejected
788,4,Not Graduate,Yes,2062400,37185544,11,748,2568923,17733838,3034083,6799618,Approved
789,3,Not Graduate,Yes,1324157,8839049,2,596,12377554,10897754,27706295,5050640,Rejected
790,0,Graduate,Yes,5645979,34097023,6,695,7775127,13037217,23428536,8761992,Approved
791,0,Not Graduate,Yes,9529449,998121,14,534,13418787,14543352,36632264,6085347,Rejected
792,2,Not Graduate,No,1749397,23529700,16,406,20427988,7937845,11363397,13074911,Rejected
793,4,Not Graduate,Yes,4976403,17440654,5,797,8151013,14267790,12979330,3112911,Approved
794,4,Not Graduate,Yes,4191069,12111594,14,430,1489994,18696815,19212597,736579,Rejected
795,2,Not Graduate,No,3316800,36897472,20,412,4707903,14062784,30622811,6326352,Rejected
796,1,Not Graduate,No,6707140,26263041,15,832,20829218,5758930,36483097,13939928,Approved
797,5,Not Graduate,No,3095741,5722353,15,862,16846796,15111115,28584032,911478,Approved
798,2,Not Graduate,Yes,5032102,5759050,5,666,28478722,4580558,19879779,11880394,Approved
799,1,Graduate,Yes,8484954,4893672,14,648,26021225,1408647,38340013,8200,Approved
800,2,Graduate,No,3919997,12218212,15,516,4688527,8616013,7108242,8195706,Rejected
801,0,Not Graduate,No,406803,3002949,4,667,21409735,9885809,18455088,6660180,Approved
802,1,Not Graduate,Yes,8872706,10656436,7,666,2627847,9113949,9677987,2348304,Approved
803,3,Not Graduate,No,2890130,30288706,18,610,2799053,5078502,6510060,10966551,Approved
804,5,Graduate,Yes,7773692,34548549,20,693,23080688,5294976,15547838,2577182,Approved
805,4,Not Graduate,Yes,7675226,31108320,5,633,11664705,17872648,29997070,6424857,Approved
806,4,Graduate,Yes,5357650,19745308,15,828,29032341,5656114,12542165,8207227,Approved
807,3,Graduate,No,1060608,27558742,11,701,154110,15187856,32097699,7614679,Approved
808,0,Graduate,Yes,9510521,37302087,13,531,14626045,4997368,23948662,465508,Rejected
809,2,Graduate,No,6872559,2389040,11,693,8961065,2086370,27726162,6550553,Approved
810,5,Not Graduate,Yes,4358780,35758986,18,438,28675550,1226450,9533775,9625234,Rejected
811,0,Not Graduate,Yes,8568139,28652903,10,428,19478858,4718974,33836721,7744022,Rejected
812,5,Graduate,No,7923115,15446681,13,796,22461767,16321128,7988383,10732262,Approved
813,4,Not Graduate,No,7650975,17886249,14,650,8445817,8831272,14550357,11401379,Approved
814,1,Graduate,Yes,1845775,17490900,12,332,26029139,13483587,30704468,2636806,Rejected
815,4,Graduate,Yes,6401858,6489461,18,513,24460247,18680427,27060348,11815658,Rejected
816,5,Not Graduate,Yes,3000766,9328511,6,891,22815474,933229,11738682,13153557,Approved
817,0,Graduate,Yes,969147,11868939,20,682,13891880,2127659,10342866,12319453,Approved
818,0,Not Graduate,Yes,3513239,527921,14,822,26828900,17850062,16976336,12513946,Approved
819,3,Graduate,No,1219508,19944956,20,629,19472793,11018663,17500453,3122719,Rejected
820,5,Graduate,Yes,1237043,18980035,9,325,1912148,11987214,2331639,9584740,Rejected
821,0,Not Graduate,No,7324987,13222338,11,407,25720477,6620977,9505693,6730313,Rejected
822,3,Not Graduate,No,5117687,7215989,2,355,609263,16039875,6058487,14465539,Rejected
823,0,Graduate,No,4099153,38314170,19,741,19869779,12539002,6057719,12215783,Approved
824,3,Graduate,No,2084149,26897224,17,754,7272687,4999681,13857956,2374300,Approved
825,3,Not Graduate,No,7755363,18909876,7,574,26112192,12584910,1409367,13845621,Rejected
826,0,Graduate,Yes,6415022,28628662,2,735,21236604,75260,26543676,10247843,Approved
827,4,Graduate,Yes,5938747,14888300,15,631,23514701,4667474,26319830,7981855,Approved
828,5,Not Graduate,No,2062905,8748719,14,744,20364937,3956176,8640659,6557037,Approved
829,5,Graduate,Yes,1410770,26688085,12,704,16501569,15244702,34310705,7247099,Approved
830,0,Not Graduate,No,1410361,30508095,4,573,25135120,14261667,23273755,11332894,Rejected
831,1,Graduate,No,445407,25801366,19,692,8649483,1770491,12325241,11239543,Approved
832,1,Not Graduate,No,9697050,22502778,10,491,15375647,17585233,7605112,8115586,Rejected
833,2,Not Graduate,Yes,3803857,395619,15,750,8675943,15871894,16826027,14577906,Approved
834,0,Graduate,Yes,6650755,25304184,18,849,3307994,8434814,37638119,3415168,Approved
835,5,Graduate,Yes,9825990,24544169,12,424,25472134,4112157,139040,6261203,Rejected
836,4,Graduate,Yes,9377219,16468014,3,700,14463178,8153249,787607,8801375,Approved
837,4,Not Graduate,Yes,3341707,9855744,18,366,1568031,11437838,16183907,2426965,Rejected
838,1,Not Graduate,Yes,5000900,38681074,14,526,24012700,12223724,36028758,7332479,Rejected
839,0,Not Graduate,Yes,4737798,15009159,18,702,27395812,6737808,11027826,12264309,Approved
840,5,Graduate,No,527344,10963732,13,466,19255406,1970808,29297195,9929804,Rejected
841,1,Graduate,No,7729281,27988877,19,441,9517440,11829728,22508641,10443250,Rejected
842,3,Not Graduate,No,5828838,19193104,18,530,25009599,13679740,7815062,2376778,Rejected
843,5,Not Graduate,Yes,3840242,22149540,6,368,21501147,5187906,35613873,2132613,Rejected
844,0,Not Graduate,Yes,5671623,25713634,5,675,8287984,12406613,6400425,6495807,Approved
845,0,Graduate,No,7407458,14751282,5,378,9603865,11037895,19841180,4755586,Rejected
846,0,Graduate,Yes,346760,6270228,17,500,28744744,9726308,25977131,148307,Rejected
847,0,Graduate,Yes,6531257,6862485,6,487,27741070,159046,26480880,8132383,Rejected
848,0,Graduate,No,8640172,37134213,10,881,19684845,5961636,33490321,11087460,Approved
849,4,Graduate,No,7318773,20114902,16,896,1061394,7264416,27654927,10752543,Approved
850,3,Not Graduate,No,6275713,16646605,10,347,6681875,16176685,25765400,1516073,Rejected
851,5,Graduate,Yes,1087335,12819148,3,394,10281579,16031953,5975330,11475504,Rejected
852,4,Not Graduate,Yes,7497974,28588155,8,740,15595617,16950766,12020121,5597202,Approved
853,5,Not Graduate,Yes,7556563,36086770,3,479,25243116,8982327,13585567,2289251,Rejected
